2025-01-06 15:22:39.224 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  F:\Eclips_Workspace_2024\eRail\master.xml

2025-01-06 15:23:08.232 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Starting TC_001 UseCase1 Test ***********
2025-01-06 15:23:20.280 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Finished TC_001 UseCase1 Test ***********
2025-01-06 15:23:27.760 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:31.086 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are valid and user login Successful, TC Passed. ***********
2025-01-06 15:23:33.187 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:33.190 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:44.888 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-06 15:23:44.888 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:44.902 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:56.235 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-06 15:23:56.235 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:56.242 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 15:23:58.414 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login successful, TC Failed. ***********
2025-01-06 18:14:15.826 [main] INFO  org.testng.internal.Utils - [TestNG] Running:
  F:\Eclips_Workspace_2024\eRail\master.xml

2025-01-06 18:14:24.419 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Starting TC_001 UseCase1 Test ***********
2025-01-06 18:14:39.316 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Finished TC_001 UseCase1 Test ***********
2025-01-06 18:14:44.837 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:14:47.222 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are valid and user login Successful, TC Passed. ***********
2025-01-06 18:14:49.449 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:14:49.451 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:15:01.092 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-06 18:15:01.092 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:15:01.095 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:15:12.354 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-06 18:15:12.354 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:15:12.358 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-06 18:15:14.321 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login successful, TC Failed. ***********
