2025-01-08 12:30:43.298 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Starting TC_001 UseCase1 Test ***********
2025-01-08 12:31:02.887 [main] INFO  TestClasses.TC001_UseCaseTest1 - ******** Finished TC_001 UseCase1 Test ***********
2025-01-08 12:31:09.459 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:12.596 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are valid and user login Successful, TC Passed. ***********
2025-01-08 12:31:14.878 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:14.880 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:27.561 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-08 12:31:27.561 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:27.567 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:39.620 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login unsuccessful, TC Passed ***********
2025-01-08 12:31:39.620 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:39.620 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Starting TC_002 UseCase2 Data Driven Test ***********
2025-01-08 12:31:42.407 [main] INFO  TestClasses.TC002_OrangeHRMDDTest - ******** Details are Invalid and user login successful, TC Failed. ***********
